Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Ctla2a	1335	44.72	342	43.27	127	48.82	864	44.68
Ctla2a	1373	45.38	414	44.20	93	56.99	864	44.68
Apoe	1266	60.58	936	62.50	178	62.36	150	46.00
Rbm3	1348	45.25	465	52.26	257	63.04	624	32.53
Rbm3	1341	45.26	462	52.38	257	63.04	620	32.42
Rbm3	1345	45.28	462	52.38	257	63.04	624	32.53
Rbm3	1344	45.24	465	52.26	257	63.04	620	32.42
Rbm3	2978	43.02	465	52.26	257	63.04	2254	38.78
Fam171b	3394	46.17	2466	48.05	20	70.00	906	40.51
Dlst	2767	51.36	1365	52.53	63	73.02	1337	49.07
Gprin1	4141	59.33	2799	59.99	353	64.31	987	55.72
Acly	4438	52.03	3306	54.57	228	63.60	902	39.69
Acly	4408	52.04	3276	54.61	228	63.60	902	39.69
Hnrnpd	6811	41.68	1068	50.47	313	68.37	5428	38.43
Hnrnpd	6754	41.53	1011	49.95	313	68.37	5428	38.43
Hnrnpd	6607	41.53	864	51.39	313	68.37	5428	38.43
Hnrnpd	6664	41.69	921	51.90	313	68.37	5428	38.43
Cwc15	1152	43.58	690	46.09	170	57.06	290	29.66
Anxa7	2850	48.88	1392	52.37	239	60.25	1217	42.65
Anxa7	2965	49.41	1392	52.37	354	61.02	1217	42.65
Pcsk2	4766	46.73	1914	53.40	357	48.46	2493	41.32
Sparc	2638	51.90	906	55.96	305	62.30	1425	47.02
Sparc	2641	51.91	909	56.00	305	62.30	1425	47.02
Fau	571	59.37	402	58.46	118	66.10	49	48.98
Fau	736	60.46	402	58.46	283	65.02	49	48.98
Fau	574	59.23	402	58.46	121	65.29	49	48.98
Stk25	3254	52.00	1281	54.64	236	72.88	1735	47.20
Lancl1	4243	46.81	1200	51.17	78	67.95	2963	44.48
Lancl1	4461	47.88	1200	51.17	296	68.58	2963	44.48
Lancl1	4277	46.93	1200	51.17	112	66.07	2963	44.48
Aldh7a1	3105	51.79	1536	52.93	351	65.81	1216	46.30
Aldh7a1	2911	50.94	1620	53.58	73	71.23	1216	46.30
Sh3gl2	2817	47.75	1059	50.80	120	78.33	1636	43.46
Msi2	780	59.36	477	54.51	176	80.68	125	48.80
Msi2	6505	42.31	1041	53.99	138	80.43	5324	39.03
Scp2	2664	45.12	1644	49.15	99	65.66	919	35.58
Cat	2551	48.45	1584	51.70	114	63.16	851	40.31
Mrpl41	2423	46.47	408	50.00	233	60.52	1780	43.82
Mrpl49	1722	48.95	501	53.69	14	57.14	1205	46.80
Gap43	1316	51.14	684	55.56	148	60.14	482	42.12
Cttn	3112	53.12	1530	53.99	340	60.00	1240	50.08
Cttn	3223	53.09	1641	53.87	340	60.00	1240	50.08
Dnajc8	1410	46.17	762	45.93	26	61.54	620	45.81
Mcts1	876	38.36	546	36.08	109	56.88	219	34.25
Ezr	3070	53.32	1761	56.45	136	71.32	1171	46.54
Cops5	1482	45.28	954	46.54	148	57.43	378	37.57
Cops5	1731	46.39	1005	44.98	346	60.12	378	37.57
Tnip1	2996	57.78	1944	58.08	301	64.78	749	54.07
Tnip1	2666	57.13	1785	58.32	130	57.69	749	54.07
Tnip1	2719	57.12	1785	58.32	183	57.38	749	54.07
Tnip1	2817	57.29	1941	57.96	196	59.69	678	54.72
Tnip1	2838	57.19	1944	58.08	143	60.84	749	54.07
Cltb	1576	54.19	636	60.06	7	71.43	931	49.95
Timm8a1	1195	43.93	294	54.42	40	75.00	859	38.88
Atp5b	1879	51.25	1590	53.14	19	68.42	268	38.43
Ncor2	8697	62.17	6999	61.75	683	69.55	1013	60.02
Ncor2	8146	62.18	6762	61.88	369	73.44	1013	60.02
Ncor2	8745	62.20	7407	61.87	323	76.16	1013	60.02
Marc2	1883	50.19	1017	56.24	29	62.07	835	42.40
Atp5d	931	61.12	507	61.74	150	65.33	272	57.35
Dld	2291	40.68	1530	42.68	131	62.60	628	31.21
Mllt4	7401	48.41	5463	50.67	132	84.09	1804	38.91
Idh1	2292	42.76	1245	46.18	190	52.11	855	35.67
Idh1	2270	43.17	1245	46.18	168	58.93	855	35.67
Angptl4	1916	55.74	1233	57.50	182	56.04	499	51.10
Atp1a2	6227	52.10	3063	55.63	171	60.23	2991	47.98
Uba1	4073	52.03	3177	52.06	229	65.94	665	47.07
Uba1	4165	51.64	3177	52.06	321	57.01	665	47.07
Uba1	4068	51.43	3177	52.06	224	55.36	665	47.07
Uba1	4068	51.65	3357	52.55	44	54.55	665	47.07
Wipf3	4204	54.09	1452	64.39	4203	54.10	2751	48.64
Wipf3	4102	54.29	1350	65.78	4101	54.30	2751	48.64
Gad1	3231	47.29	1782	50.34	232	66.38	1215	39.18
Fto	3586	51.73	1509	54.21	50	68.00	2025	49.48
Omg	2226	41.69	1332	43.54	176	51.70	716	35.75
