Gene	length	GC	cds	cdsGC	fiveUTR	fiveUTRgc	threeUTR	threeUTRgc
Capzb	1789	51.26	834	52.04	126	76.19	827	46.55
Capzb	1655	49.73	906	52.54	18	61.11	729	45.95
Capzb	1641	49.66	783	51.72	127	58.27	729	45.95
Capzb	1676	51.25	819	52.14	126	76.19	729	45.95
Rbm5	3104	47.62	2448	48.12	166	57.23	488	41.80
Gabarapl1	1773	52.51	354	49.72	254	59.84	1163	51.68
Nfat5	4725	47.53	3678	46.93	355	71.55	690	38.26
Nfat5	13389	42.80	4659	47.01	355	71.55	8373	39.25
Nfat5	13451	42.81	4377	46.74	699	60.80	8373	39.25
Safb	3183	55.95	2814	57.50	179	51.96	188	36.70
Ywhag	3592	52.78	744	60.35	231	64.94	2615	49.52
Hspe1	788	50.51	309	43.69	261	72.80	216	33.33
Slc6a11	4066	54.16	1884	56.26	35	85.71	2145	51.75
Hnrnpc	2805	42.75	903	47.07	201	52.74	1699	39.20
Hnrnpc	2779	42.86	903	47.07	175	56.00	1699	39.20
Hnrnpc	2784	42.67	882	46.94	201	52.74	1699	39.20
Hnrnpc	2781	42.68	879	46.99	201	52.74	1699	39.20
Hnrnpc	2844	42.93	942	47.45	201	52.74	1699	39.20
Prdm8	3119	58.13	2067	66.09	245	48.98	805	40.50
Rab21	1856	45.69	669	50.52	244	77.05	941	34.01
Rab5a	2364	42.30	648	42.28	466	64.16	1248	34.05
Syt2	3386	52.81	1269	53.51	380	59.21	1735	50.84
Irf2bpl	4112	60.09	2328	64.39	916	70.63	866	37.41
Syt7	6342	54.98	1212	56.60	392	72.96	4736	53.06
Syt7	6474	54.82	1344	55.65	392	72.96	4736	53.06
Syt7	6834	55.74	1704	59.15	392	72.96	4736	53.06
Hsp90ab1	2507	51.06	2175	51.08	94	64.89	236	45.34
Tcp1	2413	47.99	1524	43.83	297	65.32	590	50.17
Tcp1	2499	47.70	1671	44.46	236	64.41	590	50.17
Luc7l	1697	49.09	978	50.51	120	65.83	597	43.22
Luc7l	4977	47.18	1116	51.70	120	65.83	3739	45.23
Amph	3247	50.82	2073	53.26	81	71.60	1091	44.55
Amph	3235	50.79	2061	53.23	81	71.60	1091	44.55
Pgrmc1	1838	44.61	588	59.01	61	63.93	1187	36.48
Nap1l1	3951	39.66	1257	41.05	601	43.59	2091	37.69
Nap1l1	1529	44.08	1176	41.58	179	67.60	172	36.05
Clta	1109	54.19	657	59.82	148	64.19	302	37.09
Clta	1199	53.54	747	58.10	148	64.19	302	37.09
Clta	1103	54.03	651	59.60	148	64.19	302	37.09
Clta	1128	54.34	693	58.87	141	65.25	292	38.36
Clta	1163	53.91	711	58.93	148	64.19	302	37.09
Psma7	1591	58.14	537	49.53	939	64.11	113	50.44
Psma7	952	52.63	747	50.47	90	73.33	113	50.44
Baiap2	3066	54.99	1449	57.28	102	64.71	1513	52.08
Baiap2	2083	57.37	1608	57.40	102	64.71	371	54.99
Baiap2	3186	55.27	1569	57.68	102	64.71	1513	52.08
Epdr1	2404	48.34	675	57.63	267	63.67	1460	41.23
Cnr1	5807	44.88	1422	51.83	588	70.75	3795	38.26
Cep170	6930	42.35	4737	45.89	165	43.64	2026	33.96
Ppp2ca	1930	47.67	930	47.63	224	78.12	774	38.89
Fubp1	6491	38.59	1929	49.92	134	60.45	4426	33.01
Farsb	2091	46.92	1770	45.20	54	70.37	265	53.21
Farsb	2274	45.12	1770	45.20	54	70.37	448	41.52
Arc	3056	58.93	1191	60.29	197	66.50	1666	57.08
Arc	3059	58.94	1191	60.29	197	66.50	1669	57.10
Gpm6a	2980	39.33	804	47.89	212	63.68	1962	33.23
Gpm6a	3158	38.57	540	48.15	654	46.64	1962	33.23
Gpm6a	3351	39.24	837	47.55	550	48.00	1962	33.23
Hnrnpa2b1	2265	42.60	1026	46.00	217	66.36	1020	34.02
Hnrnpa2b1	2145	41.91	906	44.81	217	66.36	1020	34.02
Fth1	942	52.97	549	49.91	223	69.96	168	39.88
Chgb	2733	54.04	2034	53.15	455	65.93	242	38.84
Elfn2	4877	59.50	2472	60.80	521	60.27	1882	57.55
Actn1	3739	52.96	2679	54.57	279	73.12	779	40.05
Atp6v1f	635	53.86	360	54.44	33	66.67	240	50.83
Actn4	3859	54.47	2739	56.44	96	73.96	1022	47.36
Ppp5c	2084	56.00	1500	55.20	100	73.00	482	54.77
Camk2a	4245	52.44	570	55.79	292	58.56	3381	51.38
Camk2a	4268	52.46	603	54.89	292	58.56	3371	51.53
Camk2a	4966	53.14	1437	56.16	146	64.38	3381	51.38
Fam103a1	1423	38.51	360	45.28	130	54.62	931	33.62
Atp1a1	3720	54.22	3072	53.12	292	73.29	354	47.74
Fosl2	5886	51.68	981	61.26	231	69.70	4672	48.76
Anks1b	7002	45.47	3768	48.41	162	65.43	3070	40.85
Anks1b	4905	43.75	1533	48.47	300	49.33	3070	40.85
Anks1b	7246	47.94	1215	47.57	86	54.65	5943	47.91
Anks1b	4728	43.57	1356	48.45	300	49.33	3070	40.85
Anks1b	4653	43.54	1281	48.63	300	49.33	3070	40.85
Lgals1	817	53.73	408	55.15	70	54.29	337	51.93
Ddi2	3539	52.81	1200	54.00	224	78.57	2113	49.41
Dnajb9	1865	38.28	669	39.76	138	70.29	1056	33.24
Zfp207	2376	44.49	1488	48.12	175	53.14	711	34.88
Zfp207	2328	44.63	1440	48.47	175	53.14	711	34.88
Zfp207	2283	44.50	1395	48.39	175	53.14	711	34.88
Zfp207	2271	44.43	1383	48.30	175	53.14	711	34.88
2610301B20Rik	2133	42.80	630	47.30	116	66.38	1385	38.70
Qdpr	1394	52.51	726	57.16	126	65.08	540	43.15
Dnajb1	2284	53.50	1023	53.96	156	73.08	1103	50.23
Ankrd34a	2586	60.09	1488	63.31	288	62.85	808	53.34
Gm996	4704	62.20	2925	65.68	201	62.69	1576	55.71
Cnksr2	5434	42.75	3099	44.60	269	76.58	2064	35.51
Grin2b	7515	51.20	4449	52.89	762	48.29	2302	48.87
Pfn2	2020	48.07	423	51.77	274	81.02	1321	39.97
Alyref2	1273	50.59	657	58.75	178	58.43	436	35.09
Clint1	3398	48.09	1872	51.50	187	81.28	1337	38.67
Camk2n2	1299	63.05	240	62.92	83	78.31	974	61.81
Rab1	2657	40.76	618	43.69	27	81.48	2010	39.30
Madd	6151	54.48	4734	53.78	335	69.55	1080	52.78
Madd	5905	53.55	4884	53.71	83	44.58	936	53.53
Madd	6094	54.56	4677	53.88	335	69.55	1080	52.78
Ndufa12	561	51.16	450	50.67	23	69.57	86	47.67
Pdcd6ip	5976	46.87	2625	50.17	151	78.81	3198	42.62
Pdcd6ip	5970	46.95	2619	50.36	151	78.81	3198	42.62
Pdcd6ip	5961	46.94	2610	50.34	151	78.81	3198	42.62
Gtf2b	1267	44.36	951	47.84	24	70.83	290	30.34
Myl3	898	55.68	615	56.91	63	46.03	218	55.05
Myl1	826	46.97	453	50.55	87	51.72	284	39.79
Myl1	1003	47.96	567	52.03	150	48.67	284	39.79
Hnrnpul2	5726	50.45	2238	53.53	880	62.27	2606	43.82
Luc7l3	3327	40.25	1476	43.50	122	67.21	1727	35.55
Twf1	2973	43.36	1053	46.53	47	85.11	1871	40.51
Cct8	2391	43.29	1647	44.75	80	73.75	662	35.80
Twf2	1594	58.66	1050	57.62	151	73.51	391	55.50
Hspa5	2534	46.53	1968	47.46	149	61.07	415	36.63
Hspa5	2616	47.25	1968	47.46	231	64.07	415	36.63
Crkl	4584	48.43	327	57.19	492	66.87	3763	45.26
Crkl	5050	48.48	912	51.86	492	66.87	3644	45.14
Hk1	4157	56.17	2757	54.37	345	68.70	1053	56.70
Hk1	4100	54.98	2838	54.51	207	52.66	1053	56.70
Dclk1	6956	44.55	1302	51.54	305	56.39	5347	42.17
Dclk1	7030	44.57	1269	50.59	305	56.39	5454	42.48
Dclk1	6026	40.66	1092	54.12	245	66.12	4687	36.19
Dclk1	7817	45.87	2223	52.54	245	66.12	5347	42.17
Dclk1	7004	44.66	1350	51.85	305	56.39	5347	42.17
Dclk1	5175	37.93	171	54.97	305	56.39	4697	36.11
Dclk1	7865	45.96	2271	52.71	245	66.12	5347	42.17
Cct7	2452	54.04	1635	51.50	616	64.12	199	43.22
Cct4	1966	45.73	1620	44.75	160	65.62	184	36.96
Fkbp4	2167	55.33	1377	56.28	120	75.83	668	49.55
Atp6v1g1	1109	47.88	357	57.42	152	64.47	598	37.96
Fkbp3	945	41.48	675	42.96	15	66.67	253	35.97
Ap2a1	3391	58.86	2868	57.88	143	80.42	378	57.94
Ap2a1	3457	59.01	2934	58.08	143	80.42	378	57.94
Hnrnpa0	2678	55.38	918	71.79	242	81.82	1516	41.23
Ndufa7	540	54.07	342	59.06	57	61.40	139	38.85
Synpo	4496	57.54	2073	59.29	528	60.42	1893	54.78
Synpo	5012	58.44	2706	62.42	469	66.52	1835	50.52
Brsk1	3014	59.49	2337	59.09	151	82.12	524	54.58
Brsk1	1391	57.66	1032	56.78	151	82.12	206	43.69
Wasf3	2685	56.65	1506	55.84	430	68.84	747	51.14
Cryab	1117	54.43	528	57.39	447	57.27	140	35.00
Cryab	885	52.77	528	57.39	215	53.49	140	35.00
Cryab	874	52.63	528	57.39	204	52.94	140	35.00
Cryab	975	52.62	528	57.39	305	52.79	140	35.00
Srgap2	8040	48.67	3216	50.47	717	59.27	4105	45.38
Ralb	2293	51.50	621	53.62	254	70.47	1416	47.10
Rala	2662	43.54	621	45.41	236	72.46	1803	39.10
Sqstm1	1916	54.85	1215	58.19	62	64.52	637	47.72
Sqstm1	2030	54.98	1329	58.09	62	64.52	637	47.72
Lrpprc	4638	47.61	4179	47.09	272	61.40	185	38.38
Ppp3r1	2829	40.83	513	41.33	241	74.69	2073	36.71
Sucla2	2108	41.46	1392	44.97	21	66.67	693	33.62
Hspa8	2104	49.10	1941	49.05	80	60.00	81	38.27
Snap91	4157	47.97	2607	53.05	106	76.42	1442	36.69
Snap91	4179	48.62	2517	53.00	218	77.06	1442	36.69
Snap91	3386	46.66	1749	50.83	218	77.06	1417	36.77
Snap91	4353	49.05	2691	53.40	218	77.06	1442	36.69
Snap91	4368	48.99	2706	53.29	218	77.06	1442	36.69
Ss18	3017	48.96	1164	55.15	178	75.84	1673	41.78
Ss18	2888	48.61	1035	54.98	178	75.84	1673	41.78
Ss18	2795	48.77	942	56.05	178	75.84	1673	41.78
Ss18	3110	48.81	1257	54.34	178	75.84	1673	41.78
Ifrd1	1836	45.37	1350	45.56	232	65.52	252	25.79
Eif4e	2882	40.28	654	44.19	132	53.79	2094	38.16
Vdac2	1662	44.95	888	46.62	131	67.18	641	38.07
Vdac1	1766	47.90	852	50.94	40	72.50	872	43.81
Fscn1	2667	60.59	1482	62.82	93	66.67	1090	56.97
Fam162a	635	47.56	468	50.00	11	81.82	154	37.66
Eif4g2	7646	42.92	2607	44.80	331	59.82	4706	40.71
Eif4g2	7760	43.02	2721	44.98	331	59.82	4706	40.71
Nrxn3	7933	47.46	4716	52.50	680	55.15	2535	36.02
Nrxn3	5157	43.40	1704	51.53	916	48.69	2535	36.02
Nrxn3	6529	45.67	3303	51.80	689	51.81	2535	36.02
Aldh2	2207	58.77	1560	59.23	342	62.57	303	52.15
Nipsnap3a	1099	45.95	738	45.39	154	62.99	205	35.12
Itpa	1264	45.97	597	54.27	28	60.71	637	37.52
Nipsnap3b	1507	42.67	744	48.66	63	73.02	698	33.52
Cntfr	2021	59.23	1119	59.16	224	70.09	676	55.62
Cntfr	678	55.90	342	61.11	203	57.64	131	39.69
Cntfr	2000	57.85	1119	59.16	203	57.64	676	55.62
Crk	5835	44.56	615	56.59	164	79.27	5054	41.95
Crk	5469	44.30	249	68.67	164	79.27	5054	41.95
Crk	6005	45.00	915	56.17	164	79.27	4924	41.75
Ahcy	2560	51.52	1299	55.27	104	61.54	1155	46.32
Nufip2	10399	36.97	2079	44.78	88	63.64	8230	34.71
Ivd	2067	54.09	1275	54.51	20	65.00	770	52.99
Ddx17	4766	49.48	1953	51.25	496	66.53	2315	44.32
Ddx17	4068	45.40	813	54.00	938	40.62	2315	44.32
Ddx17	2860	46.54	1224	48.77	315	67.62	1319	39.35
Ddx17	4772	49.48	1959	51.25	496	66.53	2315	44.32
Naca	7034	52.59	6564	52.21	339	64.90	129	39.53
Naca	1229	51.42	648	47.53	450	60.44	129	39.53
Naca	1118	51.88	648	47.53	339	64.90	129	39.53
Vsnl1	1951	43.36	576	49.65	297	50.84	1076	37.92
Rbm39	2803	43.13	1575	43.05	364	65.38	862	33.99
Rbm39	2598	41.15	1575	43.05	159	61.64	862	33.99
Rbm39	2821	43.00	1593	42.81	364	65.38	862	33.99
Limch1	6142	48.50	3174	53.15	69	73.91	2897	42.80
Limch1	5904	48.14	2706	53.55	299	51.17	2897	42.80
Fhl2	1417	49.19	840	52.74	133	54.89	442	40.72
Fhl2	1566	52.30	840	52.74	282	69.15	442	40.72
Agap3	2074	62.92	1188	60.69	29	86.21	855	65.26
Agap3	3207	61.24	2733	61.73	29	86.21	443	56.66
Prkar1b	2633	54.61	1146	54.89	128	51.56	1357	54.61
Prkar1b	2632	55.85	1146	54.89	130	75.38	1354	54.73
Hsp90aa1	2850	43.16	2202	43.37	143	67.13	503	35.19
Rab14	3100	42.77	648	43.98	368	70.92	2082	37.42
Dctn4	3714	45.45	1383	50.83	9	55.56	2320	42.20
Pcdh8	3712	58.43	2922	63.45	190	65.79	598	31.77
Pcdh8	4003	59.76	3213	64.64	190	65.79	598	31.77
Rps25	701	44.79	378	48.41	40	60.00	281	37.72
Cntnap1	5360	56.12	4158	56.47	140	60.71	1060	54.06
Pcdh1	3902	57.02	3117	57.56	229	60.70	554	52.53
Ak1	2106	53.89	585	54.36	150	55.33	1369	53.47
